omega,weighting
6.262213493676928e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.758659678029689e-4,Equally weighted
5.965257665233069e-4,Equally weighted
6.57458627134574e-4,Equally weighted
7.098135630818108e-4,Equally weighted
6.524872162608011e-4,Equally weighted
6.079882635686751e-4,Equally weighted
5.541253277571797e-4,Equally weighted
6.579018778393417e-4,Equally weighted
6.137579202383956e-4,Equally weighted
6.534575508517323e-4,Equally weighted
5.695342876184108e-4,Equally weighted
7.348813823790071e-4,Equally weighted
6.721505590226248e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.11487448036405e-4,Equally weighted
5.78093721318157e-4,Equally weighted
5.838193334891113e-4,Equally weighted
5.996205428168463e-4,Equally weighted
6.16185323202833e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.158592990586872e-4,Equally weighted
6.141576269334681e-4,Equally weighted
6.340945379455545e-4,Equally weighted
5.751378984976552e-4,Equally weighted
5.750502519661314e-4,Equally weighted
7.71470004405202e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.594265977138096e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.633153138937568e-4,Equally weighted
6.151475501548272e-4,Equally weighted
7.41950129257317e-4,Equally weighted
6.160713829508269e-4,Equally weighted
5.94725903831236e-4,Equally weighted
6.411329867759349e-4,Equally weighted
6.391182751007028e-4,Equally weighted
6.151436357033333e-4,Equally weighted
7.717146001492596e-4,Equally weighted
6.340578578510812e-4,Equally weighted
6.131084802191426e-4,Equally weighted
5.808444132610654e-4,Equally weighted
6.071101963391948e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.504180889116736e-4,Equally weighted
6.502497162394963e-4,Equally weighted
6.151939018425958e-4,Equally weighted
7.163833709120941e-4,Equally weighted
6.401149248456861e-4,Equally weighted
6.159890686186899e-4,Equally weighted
6.152142634855574e-4,Equally weighted
5.671145834282611e-4,Equally weighted
8.185420518558934e-4,Equally weighted
6.152002374627556e-4,Equally weighted
5.959462093612612e-4,Equally weighted
6.814899394415235e-4,Equally weighted
6.733405467896403e-4,Equally weighted
6.152143675849421e-4,Equally weighted
6.425210586729512e-4,Equally weighted
8.486659884621074e-4,Equally weighted
6.152218976548437e-4,Equally weighted
6.007959983119295e-4,Equally weighted
5.184792677412082e-4,Equally weighted
7.547846419357842e-4,Equally weighted
5.767936045428827e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.155965522428591e-4,Equally weighted
5.992792406774095e-4,Equally weighted
6.328900992556457e-4,Equally weighted
6.416371195900057e-4,Equally weighted
5.678319175381461e-4,Equally weighted
5.267917597483626e-4,Equally weighted
6.03652935586929e-4,Equally weighted
6.639944017461861e-4,Equally weighted
0.0010352086208273359,Equally weighted
0.00070062311826922085,Equally weighted
6.114065501179449e-4,Equally weighted
6.008556584077761e-4,Equally weighted
6.152576771066615e-4,Equally weighted
6.255904376233723e-4,Equally weighted
5.954582773317433e-4,Equally weighted
5.839059426563177e-4,Equally weighted
5.481385305203923e-4,Equally weighted
5.715306754035838e-4,Equally weighted
7.265346187396301e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.461093981754722e-4,Equally weighted
5.564670174928491e-4,Equally weighted
6.558983927001441e-4,Equally weighted
6.152423138376451e-4,Equally weighted
6.346842682229964e-4,Equally weighted
6.002900770570583e-4,Equally weighted
5.780012155342669e-4,Equally weighted
6.081725270790383e-4,Equally weighted
5.849665738427237e-4,Equally weighted
5.993147867088444e-4,Equally weighted
5.841177985537406e-4,Equally weighted
6.170887884386901e-4,Equally weighted
6.245774235243363e-4,Equally weighted
7.080433064070883e-4,Equally weighted
5.933276823197736e-4,Equally weighted
5.795684785342362e-4,Equally weighted
6.958856967454978e-4,Equally weighted
6.908619960319695e-4,Equally weighted
5.048662974253106e-4,Equally weighted
5.186077183149447e-4,Equally weighted
7.154461035772759e-4,Equally weighted
6.075287095899276e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.617296529537076e-4,Equally weighted
5.989534348661813e-4,Equally weighted
6.237315998997456e-4,Equally weighted
7.588095322895493e-4,Equally weighted
5.048662974253106e-4,Equally weighted
6.566207121446755e-4,Equally weighted
5.995980581426151e-4,Equally weighted
6.315017704309787e-4,Equally weighted
5.115188056977821e-4,Equally weighted
6.00060286567279e-4,Equally weighted
5.778837540234766e-4,Equally weighted
5.708198282208569e-4,Equally weighted
6.104061939674107e-4,Equally weighted
5.533436166380541e-4,Equally weighted
6.314845556978705e-4,Equally weighted
5.944503905257101e-4,Equally weighted
5.950795737133907e-4,Equally weighted
6.268546123839393e-4,Equally weighted
5.740742390013285e-4,Equally weighted
6.113945468086588e-4,Equally weighted
5.482645543970847e-4,Equally weighted
5.672661272717862e-4,Equally weighted
